currency,horizon_months,annual_borrow_rate_pct,collateral_type,collateral_shock_pct,initial_collateral_ratio_pct,liquidation_threshold_pct,liquidation_penalty_pct,healthy_positions_pct,near_liquidation_positions_pct,liquidated_positions_pct,mean_risk_adjusted_benefit_pct,positive_risk_adjusted_positions_pct,value_weighted_risk_adjusted_benefit_pct
ARS,12,20.0,USD_stablecoin,0.0,150.0,150.0,5.0,54.95020727845681,39.80893668446253,5.240856037080663,-11.979807592356972,62.05350996619296,12.435211629143252
ARS,12,20.0,USD_stablecoin,0.0,150.0,150.0,10.0,54.95020727845681,39.80893668446253,5.240856037080663,-12.241926250372469,62.05350996619296,12.090080492286704
ARS,12,20.0,USD_stablecoin,0.0,150.0,150.0,13.0,54.95020727845681,39.80893668446253,5.240856037080663,-12.399197445181768,62.05350996619296,11.883001810172775
ARS,12,20.0,USD_stablecoin,0.0,175.0,150.0,5.0,100.0,0.0,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,USD_stablecoin,0.0,175.0,150.0,10.0,100.0,0.0,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,USD_stablecoin,0.0,175.0,150.0,13.0,100.0,0.0,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,USD_stablecoin,0.0,200.0,150.0,5.0,100.0,0.0,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,USD_stablecoin,0.0,200.0,150.0,10.0,100.0,0.0,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,USD_stablecoin,0.0,200.0,150.0,13.0,100.0,0.0,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,ETH,10.0,150.0,150.0,5.0,9.454498171972281,40.12635572348595,50.41914610454177,-14.147286235846382,44.568692539505285,10.227027801546045
ARS,12,20.0,ETH,10.0,150.0,150.0,10.0,9.454498171972281,40.12635572348595,50.41914610454177,-16.5768835373513,35.716908109100366,7.67371283709229
ARS,12,20.0,ETH,10.0,150.0,150.0,13.0,9.454498171972281,40.12635572348595,50.41914610454177,-18.03464191825425,35.716908109100366,6.141723858420036
ARS,12,20.0,ETH,10.0,175.0,150.0,5.0,63.193159046060174,36.80684095393982,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,ETH,10.0,175.0,150.0,10.0,63.193159046060174,36.80684095393982,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,ETH,10.0,175.0,150.0,13.0,63.193159046060174,36.80684095393982,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,ETH,10.0,200.0,150.0,5.0,100.0,0.0,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,ETH,10.0,200.0,150.0,10.0,100.0,0.0,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,ETH,10.0,200.0,150.0,13.0,100.0,0.0,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,ETH,25.0,150.0,150.0,5.0,4.83700723562436,2.829236205656943,92.33375655871869,-15.926383516321033,41.948264520964955,9.134957998262673
ARS,12,20.0,ETH,25.0,150.0,150.0,10.0,4.83700723562436,2.829236205656943,92.33375655871869,-20.135078098300593,27.397469826069663,5.489573230525541
ARS,12,20.0,ETH,25.0,150.0,150.0,13.0,4.83700723562436,2.829236205656943,92.33375655871869,-22.660294847488334,22.050297532545013,3.3023423698832612
ARS,12,20.0,ETH,25.0,175.0,150.0,5.0,9.454498171972281,30.624435911948723,59.921065916078994,-14.568669695987008,43.674565174159795,10.041361774800414
ARS,12,20.0,ETH,25.0,175.0,150.0,10.0,9.454498171972281,30.624435911948723,59.921065916078994,-17.41965045763254,31.815330957152256,7.302380783601031
ARS,12,20.0,ETH,25.0,175.0,150.0,13.0,9.454498171972281,30.624435911948723,59.921065916078994,-19.130238914619863,28.84230010249193,5.658992188881399
ARS,12,20.0,ETH,25.0,200.0,150.0,5.0,54.95020727845681,39.80893668446253,5.240856037080663,-11.979807592356972,62.05350996619296,12.435211629143252
ARS,12,20.0,ETH,25.0,200.0,150.0,10.0,54.95020727845681,39.80893668446253,5.240856037080663,-12.241926250372469,62.05350996619296,12.090080492286704
ARS,12,20.0,ETH,25.0,200.0,150.0,13.0,54.95020727845681,39.80893668446253,5.240856037080663,-12.399197445181768,62.05350996619296,11.883001810172775
ARS,12,20.0,ETH,40.0,150.0,150.0,5.0,1.795903382233712,0.907894938122409,97.29620167964387,-16.096330698672386,41.94749965581068,8.580589325338845
ARS,12,20.0,ETH,40.0,150.0,150.0,10.0,1.795903382233712,0.907894938122409,97.29620167964387,-20.4749724630033,27.395175230606846,4.38083588467789
ARS,12,20.0,ETH,40.0,150.0,150.0,13.0,1.795903382233712,0.907894938122409,97.29620167964387,-23.102157521601853,22.04800293708219,1.8609838202813158
ARS,12,20.0,ETH,40.0,175.0,150.0,5.0,3.4594850927781433,2.063606186229368,94.4769087209925,-16.004447415703886,41.948264520964955,8.855474470019233
ARS,12,20.0,ETH,40.0,175.0,150.0,10.0,3.4594850927781433,2.063606186229368,94.4769087209925,-20.2912058970663,27.39670496091539,4.930606174038662
ARS,12,20.0,ETH,40.0,175.0,150.0,13.0,3.4594850927781433,2.063606186229368,94.4769087209925,-22.86326098588375,22.04953266739074,2.575685196450321
ARS,12,20.0,ETH,40.0,200.0,150.0,5.0,6.398861880650442,3.0556362913218402,90.54550182802772,-15.85646450796283,41.948264520964955,9.45383944145158
ARS,12,20.0,ETH,40.0,200.0,150.0,10.0,6.398861880650442,3.0556362913218402,90.54550182802772,-19.995240081584193,27.398234691223937,6.127336116903356
ARS,12,20.0,ETH,40.0,200.0,150.0,13.0,6.398861880650442,3.0556362913218402,90.54550182802772,-22.47850542575701,22.05182726285356,4.131434122174421
ARS,12,20.0,ETH,60.0,150.0,150.0,5.0,1.1258815070903,0.0,98.8741184929097,-16.139425995227256,41.94673479065641,8.489745762966587
ARS,12,20.0,ETH,60.0,150.0,150.0,10.0,1.1258815070903,0.0,98.8741184929097,-20.561163056113042,27.392880635144024,4.19914875993337
ARS,12,20.0,ETH,60.0,150.0,150.0,13.0,1.1258815070903,0.0,98.8741184929097,-23.21420529264451,22.044178611310823,1.6247905581134408
ARS,12,20.0,ETH,60.0,175.0,150.0,5.0,1.1258815070903,0.0,98.8741184929097,-16.139425995227256,41.94673479065641,8.489745762966587
ARS,12,20.0,ETH,60.0,175.0,150.0,10.0,1.1258815070903,0.0,98.8741184929097,-20.561163056113042,27.392880635144024,4.19914875993337
ARS,12,20.0,ETH,60.0,175.0,150.0,13.0,1.1258815070903,0.0,98.8741184929097,-23.21420529264451,22.044178611310823,1.6247905581134408
ARS,12,20.0,ETH,60.0,200.0,150.0,5.0,1.1258815070903,0.6700218751434123,98.2040966177663,-16.122570845627564,41.94673479065641,8.507704638577806
ARS,12,20.0,ETH,60.0,200.0,150.0,10.0,1.1258815070903,0.6700218751434123,98.2040966177663,-20.527452756913654,27.392880635144024,4.235066511155809
ARS,12,20.0,ETH,60.0,200.0,150.0,13.0,1.1258815070903,0.6700218751434123,98.2040966177663,-23.170381903685318,22.044178611310823,1.6714836347026105
ARS,12,20.0,BTC,10.0,150.0,150.0,5.0,9.454498171972281,40.12635572348595,50.41914610454177,-14.147286235846382,44.568692539505285,10.227027801546045
ARS,12,20.0,BTC,10.0,150.0,150.0,10.0,9.454498171972281,40.12635572348595,50.41914610454177,-16.5768835373513,35.716908109100366,7.67371283709229
ARS,12,20.0,BTC,10.0,150.0,150.0,13.0,9.454498171972281,40.12635572348595,50.41914610454177,-18.03464191825425,35.716908109100366,6.141723858420036
ARS,12,20.0,BTC,10.0,175.0,150.0,5.0,63.193159046060174,36.80684095393982,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,BTC,10.0,175.0,150.0,10.0,63.193159046060174,36.80684095393982,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,BTC,10.0,175.0,150.0,13.0,63.193159046060174,36.80684095393982,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,BTC,10.0,200.0,150.0,5.0,100.0,0.0,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,BTC,10.0,200.0,150.0,10.0,100.0,0.0,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,BTC,10.0,200.0,150.0,13.0,100.0,0.0,0.0,-11.717688934341473,62.05350996619296,12.780342765999801
ARS,12,20.0,BTC,25.0,150.0,150.0,5.0,4.83700723562436,2.829236205656943,92.33375655871869,-15.926383516321033,41.948264520964955,9.134957998262673
ARS,12,20.0,BTC,25.0,150.0,150.0,10.0,4.83700723562436,2.829236205656943,92.33375655871869,-20.135078098300593,27.397469826069663,5.489573230525541
ARS,12,20.0,BTC,25.0,150.0,150.0,13.0,4.83700723562436,2.829236205656943,92.33375655871869,-22.660294847488334,22.050297532545013,3.3023423698832612
ARS,12,20.0,BTC,25.0,175.0,150.0,5.0,9.454498171972281,30.624435911948723,59.921065916078994,-14.568669695987008,43.674565174159795,10.041361774800414
ARS,12,20.0,BTC,25.0,175.0,150.0,10.0,9.454498171972281,30.624435911948723,59.921065916078994,-17.41965045763254,31.815330957152256,7.302380783601031
ARS,12,20.0,BTC,25.0,175.0,150.0,13.0,9.454498171972281,30.624435911948723,59.921065916078994,-19.130238914619863,28.84230010249193,5.658992188881399
