currency,horizon_months,annual_borrow_rate_pct,collateral_type,initial_collateral_ratio_pct,liquidation_threshold_pct,liquidation_penalty_pct,mean_expected_breach_probability_pct,mean_expected_liquidation_loss_pct,median_risk_adjusted_benefit_pct,positive_risk_adjusted_positions_pct,value_weighted_risk_adjusted_benefit_pct
ARS,12,20.0,USD_stablecoin,150.0,150.0,5.0,5.240856037080663,0.2621186580154988,2.775182375856766,62.05350996619296,12.435211629143252
ARS,12,20.0,USD_stablecoin,150.0,150.0,10.0,5.240856037080663,0.5242373160309975,2.775182375856766,62.05350996619296,12.090080492286704
ARS,12,20.0,USD_stablecoin,150.0,150.0,13.0,5.240856037080663,0.6815085108402963,2.775182375856766,62.05350996619296,11.883001810172775
ARS,12,20.0,USD_stablecoin,175.0,150.0,5.0,0.0,0.0,2.775182375856766,62.05350996619296,12.780342765999801
ARS,12,20.0,USD_stablecoin,175.0,150.0,10.0,0.0,0.0,2.775182375856766,62.05350996619296,12.780342765999801
ARS,12,20.0,USD_stablecoin,175.0,150.0,13.0,0.0,0.0,2.775182375856766,62.05350996619296,12.780342765999801
ARS,12,20.0,USD_stablecoin,200.0,150.0,5.0,0.0,0.0,2.775182375856766,62.05350996619296,12.780342765999801
ARS,12,20.0,USD_stablecoin,200.0,150.0,10.0,0.0,0.0,2.775182375856766,62.05350996619296,12.780342765999801
ARS,12,20.0,USD_stablecoin,200.0,150.0,13.0,0.0,0.0,2.775182375856766,62.05350996619296,12.780342765999801
ARS,12,20.0,ETH,150.0,150.0,5.0,77.21443759465205,3.552349354150596,-1.7767165629555783,43.09173792660354,9.396390961461648
ARS,12,20.0,ETH,150.0,150.0,10.0,77.21443759465205,7.104698708301192,-6.493721884746644,32.47617445044438,6.012439156923493
ARS,12,20.0,ETH,150.0,150.0,13.0,77.21443759465205,9.23610832079155,-9.34258979833761,30.926557647886675,3.982068074200603
ARS,12,20.0,ETH,175.0,150.0,5.0,46.75911336831316,2.1548196308547216,0.06104724111355552,50.45050557586698,10.744615109140552
ARS,12,20.0,ETH,175.0,150.0,10.0,46.75911336831316,4.309639261709443,-2.7305002151348323,40.35810986523076,8.7088874522813
ARS,12,20.0,ETH,175.0,150.0,13.0,46.75911336831316,5.602531040222277,-4.438644452770511,35.55858102216579,7.48745085816575
ARS,12,20.0,ETH,200.0,150.0,5.0,29.501766838506366,1.3468789032575315,1.4123349565954344,54.73222070948892,11.584238947290993
ARS,12,20.0,ETH,200.0,150.0,10.0,29.501766838506366,2.693757806515063,-0.007649295122947618,49.95716755136069,10.388135128582187
ARS,12,20.0,ETH,200.0,150.0,13.0,29.501766838506366,3.501885148469582,-0.8347975100761591,43.53077052515641,9.670472837356897
ARS,12,20.0,BTC,150.0,150.0,5.0,77.21443759465205,3.552349354150596,-1.7767165629555783,43.09173792660354,9.396390961461648
ARS,12,20.0,BTC,150.0,150.0,10.0,77.21443759465205,7.104698708301192,-6.493721884746644,32.47617445044438,6.012439156923493
ARS,12,20.0,BTC,150.0,150.0,13.0,77.21443759465205,9.23610832079155,-9.34258979833761,30.926557647886675,3.982068074200603
ARS,12,20.0,BTC,175.0,150.0,5.0,46.75911336831316,2.1548196308547216,0.06104724111355552,50.45050557586698,10.744615109140552
ARS,12,20.0,BTC,175.0,150.0,10.0,46.75911336831316,4.309639261709443,-2.7305002151348323,40.35810986523076,8.7088874522813
ARS,12,20.0,BTC,175.0,150.0,13.0,46.75911336831316,5.602531040222277,-4.438644452770511,35.55858102216579,7.48745085816575
ARS,12,20.0,BTC,200.0,150.0,5.0,29.501766838506366,1.3468789032575315,1.4123349565954344,54.73222070948892,11.584238947290993
ARS,12,20.0,BTC,200.0,150.0,10.0,29.501766838506366,2.693757806515063,-0.007649295122947618,49.95716755136069,10.388135128582187
ARS,12,20.0,BTC,200.0,150.0,13.0,29.501766838506366,3.501885148469582,-0.8347975100761591,43.53077052515641,9.670472837356897
TRY,12,20.0,USD_stablecoin,150.0,150.0,5.0,24.670725551085344,1.2690309828792516,6.708232158394472,57.26698383075064,27.813265716367084
TRY,12,20.0,USD_stablecoin,150.0,150.0,10.0,24.670725551085344,2.5380619657585033,6.708232158394472,57.26698383075064,27.47346878384638
TRY,12,20.0,USD_stablecoin,150.0,150.0,13.0,24.670725551085344,3.2994805554860553,6.708232158394472,57.26698383075064,27.269590624333958
TRY,12,20.0,USD_stablecoin,175.0,150.0,5.0,0.0,0.0,6.708232158394472,57.26698383075064,28.15306264888779
TRY,12,20.0,USD_stablecoin,175.0,150.0,10.0,0.0,0.0,6.708232158394472,57.26698383075064,28.15306264888779
TRY,12,20.0,USD_stablecoin,175.0,150.0,13.0,0.0,0.0,6.708232158394472,57.26698383075064,28.15306264888779
TRY,12,20.0,USD_stablecoin,200.0,150.0,5.0,0.0,0.0,6.708232158394472,57.26698383075064,28.15306264888779
TRY,12,20.0,USD_stablecoin,200.0,150.0,10.0,0.0,0.0,6.708232158394472,57.26698383075064,28.15306264888779
TRY,12,20.0,USD_stablecoin,200.0,150.0,13.0,0.0,0.0,6.708232158394472,57.26698383075064,28.15306264888779
TRY,12,20.0,ETH,150.0,150.0,5.0,65.38939285004052,3.031958135521226,3.0368877610388467,51.421119456639794,26.528353748690844
TRY,12,20.0,ETH,150.0,150.0,10.0,65.38939285004052,6.063916271042452,0.03493463402399471,50.09254868366707,24.9036448484939
TRY,12,20.0,ETH,150.0,150.0,13.0,65.38939285004052,7.883091152355187,-1.5786569729610762,49.43629438130058,23.928819508375735
TRY,12,20.0,ETH,175.0,150.0,5.0,39.18442428599837,1.8597726033561899,3.9457910621141137,53.10611739150388,27.21625432590238
TRY,12,20.0,ETH,175.0,150.0,10.0,39.18442428599837,3.7195452067123798,1.1900166346471686,51.086108519068084,26.27944600291697
TRY,12,20.0,ETH,175.0,150.0,13.0,39.18442428599837,4.835408768726093,-0.4661464762197866,49.76365666732955,25.717361009125728
TRY,12,20.0,ETH,200.0,150.0,5.0,28.75655871869789,1.3560837754260469,5.3291179873024594,55.88104817120742,27.454212448133116
TRY,12,20.0,ETH,200.0,150.0,10.0,28.75655871869789,2.7121675508520937,3.9457910621141132,53.10382279604106,26.755362247378443
TRY,12,20.0,ETH,200.0,150.0,13.0,28.75655871869789,3.5258178161077214,3.1195146319608567,51.94887641308837,26.336052126925647
TRY,12,20.0,BTC,150.0,150.0,5.0,65.38939285004052,3.031958135521226,3.0368877610388467,51.421119456639794,26.528353748690844
TRY,12,20.0,BTC,150.0,150.0,10.0,65.38939285004052,6.063916271042452,0.03493463402399471,50.09254868366707,24.9036448484939
TRY,12,20.0,BTC,150.0,150.0,13.0,65.38939285004052,7.883091152355187,-1.5786569729610762,49.43629438130058,23.928819508375735
TRY,12,20.0,BTC,175.0,150.0,5.0,39.18442428599837,1.8597726033561899,3.9457910621141137,53.10611739150388,27.21625432590238
